"11br -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and gender, whole population and persons aged 15-64, 1971-2020"

"Gender","Underlying cause of death (time series classification)","Year","Deaths, whole population"
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1982",589
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1983",655
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1984",607
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1985",689
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1986",690
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1987",726
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1988",735
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1989",805
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1990",822
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1991",869
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1992",860
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1993",826
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1994",803
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1995",870
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1996",850
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1997",835
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1998",808
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","1999",818
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2000",823
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2001",824
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2002",748
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2003",736
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2004",803
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2005",775
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2006",779
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2007",772
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2008",739
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2009",779
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2010",699
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2011",703
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2012",669
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2013",696
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2014",671
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2015",640
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2016",663
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2017",625
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2018",662
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2019",686
"Females","36 Diseases of the digestive system excl. alcohol-related diseases","2020",738
"Females","37 Diseases of the genitourinary system (N00-N99)","1971",478
"Females","37 Diseases of the genitourinary system (N00-N99)","1972",450
"Females","37 Diseases of the genitourinary system (N00-N99)","1973",421
"Females","37 Diseases of the genitourinary system (N00-N99)","1974",406
"Females","37 Diseases of the genitourinary system (N00-N99)","1975",333
"Females","37 Diseases of the genitourinary system (N00-N99)","1976",353
"Females","37 Diseases of the genitourinary system (N00-N99)","1977",339
"Females","37 Diseases of the genitourinary system (N00-N99)","1978",366
"Females","37 Diseases of the genitourinary system (N00-N99)","1979",332
"Females","37 Diseases of the genitourinary system (N00-N99)","1980",365
"Females","37 Diseases of the genitourinary system (N00-N99)","1981",346
"Females","37 Diseases of the genitourinary system (N00-N99)","1982",325
"Females","37 Diseases of the genitourinary system (N00-N99)","1983",328
"Females","37 Diseases of the genitourinary system (N00-N99)","1984",349
"Females","37 Diseases of the genitourinary system (N00-N99)","1985",362
"Females","37 Diseases of the genitourinary system (N00-N99)","1986",327
"Females","37 Diseases of the genitourinary system (N00-N99)","1987",353
"Females","37 Diseases of the genitourinary system (N00-N99)","1988",346
"Females","37 Diseases of the genitourinary system (N00-N99)","1989",355
"Females","37 Diseases of the genitourinary system (N00-N99)","1990",344
"Females","37 Diseases of the genitourinary system (N00-N99)","1991",346
"Females","37 Diseases of the genitourinary system (N00-N99)","1992",382
"Females","37 Diseases of the genitourinary system (N00-N99)","1993",396
"Females","37 Diseases of the genitourinary system (N00-N99)","1994",387
"Females","37 Diseases of the genitourinary system (N00-N99)","1995",404
"Females","37 Diseases of the genitourinary system (N00-N99)","1996",365
"Females","37 Diseases of the genitourinary system (N00-N99)","1997",385
"Females","37 Diseases of the genitourinary system (N00-N99)","1998",328
"Females","37 Diseases of the genitourinary system (N00-N99)","1999",328
"Females","37 Diseases of the genitourinary system (N00-N99)","2000",292
"Females","37 Diseases of the genitourinary system (N00-N99)","2001",322
"Females","37 Diseases of the genitourinary system (N00-N99)","2002",310
"Females","37 Diseases of the genitourinary system (N00-N99)","2003",317
"Females","37 Diseases of the genitourinary system (N00-N99)","2004",276
"Females","37 Diseases of the genitourinary system (N00-N99)","2005",284
"Females","37 Diseases of the genitourinary system (N00-N99)","2006",305
"Females","37 Diseases of the genitourinary system (N00-N99)","2007",293
"Females","37 Diseases of the genitourinary system (N00-N99)","2008",254
"Females","37 Diseases of the genitourinary system (N00-N99)","2009",242
"Females","37 Diseases of the genitourinary system (N00-N99)","2010",255
"Females","37 Diseases of the genitourinary system (N00-N99)","2011",254
"Females","37 Diseases of the genitourinary system (N00-N99)","2012",211
"Females","37 Diseases of the genitourinary system (N00-N99)","2013",210
"Females","37 Diseases of the genitourinary system (N00-N99)","2014",174
"Females","37 Diseases of the genitourinary system (N00-N99)","2015",150
"Females","37 Diseases of the genitourinary system (N00-N99)","2016",124
"Females","37 Diseases of the genitourinary system (N00-N99)","2017",108
"Females","37 Diseases of the genitourinary system (N00-N99)","2018",117
"Females","37 Diseases of the genitourinary system (N00-N99)","2019",107
"Females","37 Diseases of the genitourinary system (N00-N99)","2020",74
"Females","38 Congenital malformations (Q00-Q99)","1971",158
"Females","38 Congenital malformations (Q00-Q99)","1972",144
"Females","38 Congenital malformations (Q00-Q99)","1973",136
"Females","38 Congenital malformations (Q00-Q99)","1974",169
"Females","38 Congenital malformations (Q00-Q99)","1975",136
"Females","38 Congenital malformations (Q00-Q99)","1976",131
"Females","38 Congenital malformations (Q00-Q99)","1977",125
"Females","38 Congenital malformations (Q00-Q99)","1978",150
"Females","38 Congenital malformations (Q00-Q99)","1979",172
"Females","38 Congenital malformations (Q00-Q99)","1980",150
"Females","38 Congenital malformations (Q00-Q99)","1981",109
"Females","38 Congenital malformations (Q00-Q99)","1982",135
"Females","38 Congenital malformations (Q00-Q99)","1983",135
"Females","38 Congenital malformations (Q00-Q99)","1984",124
"Females","38 Congenital malformations (Q00-Q99)","1985",117
"Females","38 Congenital malformations (Q00-Q99)","1986",94
"Females","38 Congenital malformations (Q00-Q99)","1987",138
"Females","38 Congenital malformations (Q00-Q99)","1988",105
"Females","38 Congenital malformations (Q00-Q99)","1989",111
"Females","38 Congenital malformations (Q00-Q99)","1990",123
"Females","38 Congenital malformations (Q00-Q99)","1991",110
"Females","38 Congenital malformations (Q00-Q99)","1992",125
"Females","38 Congenital malformations (Q00-Q99)","1993",92
"Females","38 Congenital malformations (Q00-Q99)","1994",107
"Females","38 Congenital malformations (Q00-Q99)","1995",97
"Females","38 Congenital malformations (Q00-Q99)","1996",95
"Females","38 Congenital malformations (Q00-Q99)","1997",100
"Females","38 Congenital malformations (Q00-Q99)","1998",98
"Females","38 Congenital malformations (Q00-Q99)","1999",93
"Females","38 Congenital malformations (Q00-Q99)","2000",88
"Females","38 Congenital malformations (Q00-Q99)","2001",74
"Females","38 Congenital malformations (Q00-Q99)","2002",78
"Females","38 Congenital malformations (Q00-Q99)","2003",86
"Females","38 Congenital malformations (Q00-Q99)","2004",78
"Females","38 Congenital malformations (Q00-Q99)","2005",98
"Females","38 Congenital malformations (Q00-Q99)","2006",97
"Females","38 Congenital malformations (Q00-Q99)","2007",79
"Females","38 Congenital malformations (Q00-Q99)","2008",78
"Females","38 Congenital malformations (Q00-Q99)","2009",96
"Females","38 Congenital malformations (Q00-Q99)","2010",80
"Females","38 Congenital malformations (Q00-Q99)","2011",86
"Females","38 Congenital malformations (Q00-Q99)","2012",98
"Females","38 Congenital malformations (Q00-Q99)","2013",99
"Females","38 Congenital malformations (Q00-Q99)","2014",90
"Females","38 Congenital malformations (Q00-Q99)","2015",75
"Females","38 Congenital malformations (Q00-Q99)","2016",85
"Females","38 Congenital malformations (Q00-Q99)","2017",99
"Females","38 Congenital malformations (Q00-Q99)","2018",82
"Females","38 Congenital malformations (Q00-Q99)","2019",90
"Females","38 Congenital malformations (Q00-Q99)","2020",90
"Females","39 Other diseases excl. alcohol-related","1971",429
"Females","39 Other diseases excl. alcohol-related","1972",379
"Females","39 Other diseases excl. alcohol-related","1973",364
"Females","39 Other diseases excl. alcohol-related","1974",402
"Females","39 Other diseases excl. alcohol-related","1975",369
"Females","39 Other diseases excl. alcohol-related","1976",387
"Females","39 Other diseases excl. alcohol-related","1977",387
"Females","39 Other diseases excl. alcohol-related","1978",372
"Females","39 Other diseases excl. alcohol-related","1979",388
"Females","39 Other diseases excl. alcohol-related","1980",364
"Females","39 Other diseases excl. alcohol-related","1981",334
"Females","39 Other diseases excl. alcohol-related","1982",337
"Females","39 Other diseases excl. alcohol-related","1983",330
"Females","39 Other diseases excl. alcohol-related","1984",338
"Females","39 Other diseases excl. alcohol-related","1985",344
"Females","39 Other diseases excl. alcohol-related","1986",351
"Females","39 Other diseases excl. alcohol-related","1987",333
"Females","39 Other diseases excl. alcohol-related","1988",394
"Females","39 Other diseases excl. alcohol-related","1989",374
"Females","39 Other diseases excl. alcohol-related","1990",405
"Females","39 Other diseases excl. alcohol-related","1991",361
"Females","39 Other diseases excl. alcohol-related","1992",415
"Females","39 Other diseases excl. alcohol-related","1993",408
"Females","39 Other diseases excl. alcohol-related","1994",405
"Females","39 Other diseases excl. alcohol-related","1995",356
"Females","39 Other diseases excl. alcohol-related","1996",380
"Females","39 Other diseases excl. alcohol-related","1997",367
"Females","39 Other diseases excl. alcohol-related","1998",381
"Females","39 Other diseases excl. alcohol-related","1999",382
"Females","39 Other diseases excl. alcohol-related","2000",351
"Females","39 Other diseases excl. alcohol-related","2001",352
"Females","39 Other diseases excl. alcohol-related","2002",358
"Females","39 Other diseases excl. alcohol-related","2003",366
"Females","39 Other diseases excl. alcohol-related","2004",327
"Females","39 Other diseases excl. alcohol-related","2005",390
"Females","39 Other diseases excl. alcohol-related","2006",361
"Females","39 Other diseases excl. alcohol-related","2007",326
"Females","39 Other diseases excl. alcohol-related","2008",340
"Females","39 Other diseases excl. alcohol-related","2009",309
"Females","39 Other diseases excl. alcohol-related","2010",329
"Females","39 Other diseases excl. alcohol-related","2011",311
"Females","39 Other diseases excl. alcohol-related","2012",321
"Females","39 Other diseases excl. alcohol-related","2013",288
"Females","39 Other diseases excl. alcohol-related","2014",317
"Females","39 Other diseases excl. alcohol-related","2015",343
"Females","39 Other diseases excl. alcohol-related","2016",336
"Females","39 Other diseases excl. alcohol-related","2017",297
"Females","39 Other diseases excl. alcohol-related","2018",343
"Females","39 Other diseases excl. alcohol-related","2019",308
"Females","39 Other diseases excl. alcohol-related","2020",345
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1971",16
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1972",17
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1973",22
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1974",16
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1975",22
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1976",23
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1977",31
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1978",25
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1979",23
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1980",43
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1981",42
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1982",42
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1983",48
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1984",52
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1985",49
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1986",53
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1987",40
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1988",52
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1989",45
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1990",30
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1991",33
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1992",32
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1993",38
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1994",30
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1995",39
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1996",36
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1997",48
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1998",29
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","1999",33
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2000",32
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2001",31
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2002",50
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2003",54
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2004",44
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2005",59
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2006",40
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2007",41
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2008",42
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2009",52
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2010",49
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2011",51
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2012",58
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2013",62
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2014",67
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2015",55
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2016",51
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2017",75
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2018",62
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2019",68
"Females","40 Ill-defined and unknown causes of mortality (R96-R99)","2020",51
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1971",26
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1972",24
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1973",31
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1974",39
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1975",57
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1976",53
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1977",57
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1978",67
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1979",61
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1980",83
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1981",70
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1982",81
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1983",94
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1984",96
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1985",117
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1986",142
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1987",141
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1988",146
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1989",172
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1990",193
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1991",176
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1992",191
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1993",182
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1994",193
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1995",185
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1996",220
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1997",238
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1998",278
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","1999",269
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2000",285
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2001",324
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2002",291
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2003",327
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2004",383
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2005",436
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2006",432
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2007",466
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2008",462
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2009",414
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2010",426
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2011",442
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2012",442
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2013",424
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2014",411
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2015",378
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2016",397
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2017",398
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2018",414
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2019",412
"Females","41 Alcohol-related diseases and accidental poisoning by alcohol","2020",398
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1971",1098
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1972",1099
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1973",1005
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1974",1019
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1975",980
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1976",1013
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1977",941
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1978",894
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1979",957
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1980",924
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1981",901
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1982",968
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1983",970
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1984",973
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1985",1032
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1986",1037
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1987",1145
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1988",1194
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1989",1258
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1990",1256
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1991",1248
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1992",1257
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1993",1203
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1994",1192
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1995",1196
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1996",1179
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1997",1232
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1998",1219
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","1999",1125
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2000",1196
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2001",1171
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2002",1227
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2003",1175
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2004",1283
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2005",1186
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2006",1184
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2007",1154
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2008",1145
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2009",1165
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2010",1164
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2011",1108
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2012",1122
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2013",1082
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2014",1100
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2015",1013
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2016",1052
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2017",1063
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2018",1111
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2019",1053
"Females","42-53 Accidents and violence excl. accidental poisoning by alcohol (V01-X44, X46-Y89)","2020",983
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1971",819
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1972",801
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1973",706
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1974",716
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1975",664
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1976",680
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1977",627
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1978",597
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1979",649
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1980",586
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1981",582
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1982",633
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1983",629
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1984",644
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1985",717
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1986",663
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1987",760
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1988",795
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1989",872
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1990",851
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1991",859
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1992",847
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1993",827
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1994",800
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1995",797
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1996",825
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1997",892
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1998",903
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","1999",823
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2000",836
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2001",832
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2002",891
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2003",872
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2004",986
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2005",870
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2006",875
